status_id,user_id,created_at,clean_text,Polarity,sentiment,Date,Time
1.24415e+18,3028259789.0,2020-03-29T06:19:11Z,number death toll rises 25 india union health ministry,-0.5574,Neg,2020-03-29,03:21:17
1.24417e+18,1.15024e+18,2020-03-29T07:37:35Z,received email joshua school lunch account automatic refill gets low people desperate cash right asking refunds pay bills heartbreaking reminder help fellow human,-0.6249,Neg,2020-03-29,04:14:34
1.24405e+18,1.09294e+18,2020-03-29T00:10:36Z,ask belgium test apparently cats already tested,0.0,Neu,2020-03-29,00:05:09
1.24432e+18,334388774.0,2020-03-29T17:28:53Z,sinotech marine press release,0.0,Neu,2020-03-29,11:05:38
1.24417e+18,4750555102.0,2020-03-29T07:43:55Z,minds african youth must empowered take future beloved continent hands current batch leaders continue stab one another back selfish gains,-0.296,Neg,2020-03-29,04:18:47
1.24409e+18,313054802.0,2020-03-29T02:29:48Z,deaths uk reached 1019 biggest daily increase far italy gt10000 people died critically ill patients flown hospitals germany help relieve italy desperately stretched health services,-0.2732,Neg,2020-03-29,01:19:39
1.24436e+18,1287481998.0,2020-03-29T20:30:34Z,brocktonwalkerton supporting brucelea seniors lived amp supported local townsbusinesses lives nurses amp support staff front line,0.7845,Pos,2020-03-29,13:31:42
1.2443e+18,203060129.0,2020-03-29T16:36:07Z,cair urges officials protect civil rights inmates disabled response,0.3818,Pos,2020-03-29,10:23:05
1.24414e+18,8.53174e+17,2020-03-29T05:56:18Z,happy sunday tune online service today thank,0.7351,Pos,2020-03-29,03:07:06
1.24408e+18,234015092.0,2020-03-29T01:56:12Z,definition please god,0.5267,Pos,2020-03-29,01:02:02
1.24438e+18,64486260.0,2020-03-29T21:49:39Z,dr mcdonald giving update stats 488 residents confirmed 20 hospitalized 9 admitted icu 1 died age range 25 87 changes clusters nursing homes,-0.2023,Neg,2020-03-29,14:30:54
1.24422e+18,51032750.0,2020-03-29T10:59:04Z,well si donechange clock time completely finished know day time week month still 2020 know marty mcfly must felt woke 27th floor,0.2732,Pos,2020-03-29,06:21:52
1.24413e+18,898767493.0,2020-03-29T05:05:50Z,wth teaching r kids ok watch porn,-0.296,Neg,2020-03-29,02:39:16
1.2444e+18,724572506.0,2020-03-29T23:18:00Z,us president trump extends guidelines april 30 outbreak escalates,0.128,Pos,2020-03-29,15:42:42
1.24431e+18,1.09225e+18,2020-03-29T17:02:53Z,grateful extra help thanksss,0.6908,Pos,2020-03-29,10:45:55
1.24435e+18,816088230.0,2020-03-29T19:29:10Z,35 year old man positive fever headache 1 day ground glass opacity right lower lobe,0.34,Pos,2020-03-29,12:40:00
1.2444e+18,314482577.0,2020-03-29T23:03:07Z,government says least 6 months take us nearly xmas wintertime guess annual virus kicks got anything much look forward,0.0,Neu,2020-03-29,15:30:43
1.24425e+18,255067647.0,2020-03-29T13:10:44Z,done informed family wishes gives peace mind,0.6249,Pos,2020-03-29,07:43:40
1.24431e+18,18867227.0,2020-03-29T16:48:35Z,much getting 2 trillion time much american lives going 27 trump shipped ppe supplies china us states hospitals need ppe amp ventilators blood hands,0.0,Neu,2020-03-29,10:33:22
1.24429e+18,1.24386e+18,2020-03-29T15:46:18Z,stay home something fun little things save world big issue,0.7369,Pos,2020-03-29,09:28:22
1.24423e+18,1.21751e+18,2020-03-29T11:40:50Z,reason democrats like biden support free treatment virus spread rich people talk medicare comes cancer treatment,0.7717,Pos,2020-03-29,06:51:29
1.24431e+18,8.76938e+17,2020-03-29T17:15:46Z,available free world gift fromchina way virus gifted,0.7351,Pos,2020-03-29,10:56:22
1.24423e+18,8.1516e+17,2020-03-29T12:01:37Z,mentality people replying drone shaming footage warning people stay home pay fine,-0.25,Neg,2020-03-29,07:04:40
1.24433e+18,943788254.0,2020-03-29T18:17:23Z,ive thinking lot western privileges class system thread,0.3818,Pos,2020-03-29,11:41:17
1.24438e+18,709255716.0,2020-03-29T22:02:28Z,im waiting trump bring bill bar podium announce investigation zorro stealing medical masks,-0.5719,Neg,2020-03-29,14:41:47
1.24429e+18,1420467234.0,2020-03-29T15:38:18Z,given nation vast racial disparities health care may exact even greater toll black brown communities latest column,0.6908,Pos,2020-03-29,09:18:15
1.24423e+18,1.24423e+18,2020-03-29T11:51:42Z,like many quarantined afraid go outside want family friends stay alive afraid virus believe disappear soon survive,0.765,Pos,2020-03-29,06:58:42
1.24434e+18,49222679.0,2020-03-29T18:53:40Z,fate texas resident,0.0,Neu,2020-03-29,12:07:05
1.24429e+18,54802185.0,2020-03-29T15:46:00Z,interesting mandate bring offshore laundered money fund,0.4019,Pos,2020-03-29,09:27:45
1.24438e+18,21360968.0,2020-03-29T21:54:46Z,battelle ohio developed process masks resterilized 20 times working fda get approval processed,0.4767,Pos,2020-03-29,14:34:34
1.2444e+18,9.38533e+17,2020-03-29T22:45:06Z,support nadya signing must act deliver copy officials last delivered representative peifer senator baker,0.4019,Pos,2020-03-29,15:16:52
1.24432e+18,1.24319e+18,2020-03-29T17:47:50Z,famous people govt officials amp families lives important childrens lives amp able tests amp everyone else tests ppe order curfew amp sip order usa test every human usa close state amp intnl borders travel,0.2023,Pos,2020-03-29,11:18:52
1.24431e+18,8.3261e+17,2020-03-29T17:00:22Z,divided states united appeal prime minister narendra modi combat decided donate small amount fund,0.1027,Pos,2020-03-29,10:43:30
1.24431e+18,1.24428e+18,2020-03-29T17:08:33Z,officers failed ensure public health safety lockdown restrictions combat due serious lapse performance duties competent authority initiated disciplinary proceedings officers ministry home affairs,0.25,Pos,2020-03-29,10:50:35
1.2444e+18,9.13173e+17,2020-03-29T22:49:09Z,morning hiding roof might good idea disappears would love coffee cafe,0.5423,Pos,2020-03-29,15:19:58
1.24413e+18,83521919.0,2020-03-29T05:30:00Z,dilution information internet currently posing risk global health safety lowy institute research fellow writes interpreter,0.1779,Pos,2020-03-29,02:51:25
1.2441e+18,14994522.0,2020-03-29T03:16:22Z,good initiative aussie government,0.4404,Pos,2020-03-29,01:42:03
1.24434e+18,1.13411e+18,2020-03-29T18:47:42Z,upto much temperature particles germs survive,0.0,Neu,2020-03-29,12:02:51
1.2444e+18,314867508.0,2020-03-29T23:17:31Z,trumpenceignoranceincompetenceindifference many dead bodies body bags know insurance better anybody worriesright,-0.34,Neg,2020-03-29,15:42:20
1.24411e+18,383950421.0,2020-03-29T04:03:08Z,tomorrow 8 pm ct join chat room premiere contrapuntal groove trish causey canon electric guitar amp orchestra gt via,0.5106,Pos,2020-03-29,02:07:06
1.2441e+18,19828517.0,2020-03-29T03:20:19Z,hope everyone families well stay safe,0.7845,Pos,2020-03-29,01:44:02
1.24432e+18,365216346.0,2020-03-29T17:37:50Z,denmark added 194 new cases bringing total number cases 2395 also added 7 new deaths increasing total number deaths 72,0.1531,Pos,2020-03-29,11:12:15
1.24433e+18,344336958.0,2020-03-29T18:15:10Z,bryanhealth offer drivethru testing location lifepointe campus symptoms amp completed screening tested driveby testing location open soon receive confirmation delivery additional test kits,0.0,Neu,2020-03-29,11:39:32
1.24415e+18,121558981.0,2020-03-29T06:46:22Z,full ao guide non operative management fractures dying skill many time revive techniques era,0.34,Pos,2020-03-29,03:38:57
1.24418e+18,8.24876e+17,2020-03-29T08:23:50Z,excellent resource healthcare booklet,0.5719,Pos,2020-03-29,04:49:48
1.24426e+18,201797096.0,2020-03-29T13:47:17Z,picture scientisti cure releases tax returns replies let die,-0.5994,Neg,2020-03-29,08:01:43
1.24414e+18,8.75188e+17,2020-03-29T05:47:18Z,drapes low fidelity mechanical skill practice draped intubation patient workflow set functions effectively equipment,0.2023,Pos,2020-03-29,03:01:27
1.24415e+18,1.12646e+18,2020-03-29T06:18:10Z,whers 1187 infections amp keep talking abt italy dont think mkhize cabal count properly two amp one,0.0,Neu,2020-03-29,03:20:40
1.24433e+18,1020796680.0,2020-03-29T18:23:54Z,make destination everything going great boom let fast forward telling american citizens return us call hold 1 hour 36 minutes big deal entertain son whole time,0.7506,Pos,2020-03-29,11:46:31
